Id,Label,Year,LegalType,Era,Decade,PipelineLevel,SeedConceptCount,AvgConceptSimilarity
32010R1227,32010R1227,2010.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,2,0.6171
32020R1298,32020R1298,2020.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2,0.6171
32016R1013,32016R1013,2016.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,2,0.6171
32020D1502,32020D1502,2020.0,Decision,2020s,2020.0,L2_seed_eurovoc,2,0.6171
32023R2414,32023R2414,2023.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2,0.5881
32023R1441,32023R1441,2023.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2,0.5881
32024R3104,32024R3104,2024.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2,0.6171
32008R1055,32008R1055,2008.0,Regulation,Late 2000s,2000.0,L2_seed_eurovoc,2,0.6171
32021R2126,32021R2126,2021.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2,0.6171
32019R0452,32019R0452,2019.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,2,0.6171
32014R0228,32014R0228,2014.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,2,0.6171
32005R0184,32005R0184,2005.0,Regulation,Late 2000s,2000.0,L2_seed_eurovoc,2,0.6171
32009R0707,32009R0707,2009.0,Regulation,Late 2000s,2000.0,L2_seed_eurovoc,2,0.6171
32007D0414,32007D0414,2007.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,2,0.5606
32012R1219,32012R1219,2012.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,2,0.6036
32023R1472,32023R1472,2023.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2,0.6171
32022R2560,32022R2560,2022.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2,0.5881
32020D0787,32020D0787,2020.0,Decision,2020s,2020.0,L2_seed_eurovoc,2,0.5881
32019R0505,32019R0505,2019.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,2,0.6171
