Source,Target,Type,start_year,end_year
32012L0034,32010R0913,CITES,2012.0,2010.0
32021D1210,32021D0509,CITES,2021.0,2021.0
32023R0588,32021R0697,CITES,2023.0,2021.0
32023R0588,32012D0243,CITES,2023.0,2012.0
32023R0588,32008L0114,CITES,2023.0,2008.0
32019D1345,32018D1538,CITES,2019.0,2018.0
32021D1730,32018D1538,CITES,2021.0,2018.0
32024R1366,32022L2557,CITES,2024.0,2022.0
32024R1366,32022L2555,CITES,2024.0,2022.0
32019D1909,32018D1797,CITES,2019.0,2018.0
32019D1909,32018D0909,CITES,2019.0,2018.0
32025D0105,32018D1538,CITES,2025.0,2018.0
32025D0105,32012D0243,CITES,2025.0,2012.0
32019R0452,12016E065,CITES,2019.0,2016.0
32021D2008,32019D1909,CITES,2021.0,2019.0
32021D2008,32018D1797,CITES,2021.0,2018.0
32021D2008,32020D1746,CITES,2021.0,2020.0
32021D2008,32018D0909,CITES,2021.0,2018.0
32024R1309,32022L2555,CITES,2024.0,2022.0
32024R1309,32002L0077,CITES,2024.0,2002.0
32024R1309,32023R0588,CITES,2024.0,2023.0
32016R0545,32010R0913,CITES,2016.0,2010.0
31999D0497,31998D0542,CITES,1999.0,1998.0
31999D0497,31997D0523,CITES,1999.0,1997.0
31999D0497,31998D0543,CITES,1999.0,1998.0
31999D0497,31999D0310,CITES,1999.0,1999.0
32021R1061,32020R2180,CITES,2021.0,2020.0
32023D0456,32019D0612(01),CITES,2023.0,2019.0
32025R1106,32021R0697,CITES,2025.0,2021.0
32025R1106,32023R1525,CITES,2025.0,2023.0
32025R1106,32023R2418,CITES,2025.0,2023.0
32025R1106,32019R0452,CITES,2025.0,2019.0
32022R0312,32012L0034,CITES,2022.0,2012.0
32022R0312,32021R1061,CITES,2022.0,2021.0
32022D0180,32018D1538,CITES,2022.0,2018.0
32020R1429,32012L0034,CITES,2020.0,2012.0
32022D0173,32012D0243,CITES,2022.0,2012.0
32022D0173,32009L0114,CITES,2022.0,2009.0
32021R0697,32009L0043,CITES,2021.0,2009.0
32025D0554,32023R0588,CITES,2025.0,2023.0
32021D1250,32021R0697,CITES,2021.0,2021.0
32022L2557,32022L2555,CITES,2022.0,2022.0
32022L2557,32019R0452,CITES,2022.0,2019.0
32025D0650,32021D1730,CITES,2025.0,2021.0
31993Y0323(01),31986R4059,CITES,1993.0,1986.0
32023D1304,32023D0577,CITES,2023.0,2023.0
32022D1093,32021D0509,CITES,2022.0,2021.0
32022D1093,32021D2136,CITES,2022.0,2021.0
32024R1679,32022L2557,CITES,2024.0,2022.0
32024R1679,32012L0034,CITES,2024.0,2012.0
32024R1679,32021L1187,CITES,2024.0,2021.0
32024R1679,32019R0452,CITES,2024.0,2019.0
32003H0203,32002L0077,CITES,2003.0,2002.0
32021R2126,32021R0697,CITES,2021.0,2021.0
31999D0498,31999D0310,CITES,1999.0,1999.0
31999D0498,31997D0523,CITES,1999.0,1997.0
32025R0038,32022L2555,CITES,2025.0,2022.0
32025D0967,32018D0909,CITES,2025.0,2018.0
