Id,Label,Year,LegalType,Era,Decade,PipelineLevel,SeedConceptCount
32022L2557,32022L2557,2022.0,Directive,2020s,2020.0,L1_seed_manual,1
32021R0821,32021R0821,2021.0,Regulation,2020s,2020.0,L1_seed_manual,0
32019R0452,32019R0452,2019.0,Regulation,Late 2010s,2010.0,L1_seed_manual,3
12016E065,12016E065,2016.0,Treaty,Late 2010s,2010.0,L1_seed_manual,0
12016E063,12016E063,2016.0,Treaty,Late 2010s,2010.0,L1_seed_manual,0
32008L0114,32008L0114,2008.0,Directive,Late 2000s,2000.0,L1_seed_manual,0
32016D2317,32016D2317,2016.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,2
32019L0514,32019L0514,2019.0,Directive,Late 2010s,2010.0,L2_seed_eurovoc,2
32010L0080,32010L0080,2010.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,2
32010R1227,32010R1227,2010.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,2
32022R0312,32022R0312,2022.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2
32022R1036,32022R1036,2022.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2
32023L1791,32023L1791,2023.0,Directive,2020s,2020.0,L2_seed_eurovoc,2
32023D0456,32023D0456,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32023D0510,32023D0510,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32021D2135,32021D2135,2021.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32025D0138,32025D0138,2025.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32022D1093,32022D1093,2022.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32022D2244,32022D2244,2022.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32020R1298,32020R1298,2020.0,Regulation,2020s,2020.0,L2_seed_eurovoc,3
32021D1067,32021D1067,2021.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32021R1328,32021R1328,2021.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2
32025D0913,32025D0913,2025.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32024D1067,32024D1067,2024.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32024D1979,32024D1979,2024.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
31993Y0323(01),31993Y032301,1993.0,Legislative_Act,1990s,1990.0,L2_seed_eurovoc,2
31998D0542,31998D0542,1998.0,Decision,1990s,1990.0,L2_seed_eurovoc,2
32000D0637,32000D0637,2000.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,2
31997D0258,31997D0258,1997.0,Decision,1990s,1990.0,L2_seed_eurovoc,2
32002L0077,32002L0077,2002.0,Directive,Early 2000s,2000.0,L2_seed_eurovoc,2
32011H0024,32011H0024,2011.0,Recommendation,Early 2010s,2010.0,L2_seed_eurovoc,2
32022L2555,32022L2555,2022.0,Directive,2020s,2020.0,L2_seed_eurovoc,2
32014D0453,32014D0453,2014.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,2
32016R1013,32016R1013,2016.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,2
32020D1502,32020D1502,2020.0,Decision,2020s,2020.0,L2_seed_eurovoc,3
32021D1250,32021D1250,2021.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
